Country,Popularity
Somalia,100
Eritrea,90
India,64
Türkiye,64
Nigeria,58
Botswana,58
Azerbaijan,53
South Africa,51
Morocco,49
Pakistan,49
Singapore,48
Djibouti,47
Sri Lanka,44
Tunisia,42
Angola,41
Rwanda,41
Ethiopia,41
Madagascar,40
Western Sahara,39
Israel,39
North Macedonia,38
Egypt,38
Solomon Islands,37
Nepal,37
United Arab Emirates,37
St. Helena,37
Afghanistan,37
Bhutan,36
Brazil,36
Haiti,36
St. Lucia,36
Cameroon,36
Lesotho,36
Zimbabwe,36
Cyprus,36
Bangladesh,35
Kosovo,35
Mauritius,35
Albania,35
Benin,35
Jordan,34
Malta,34
Ghana,34
Togo,33
Kenya,33
Lebanon,33
Costa Rica,32
Qatar,31
Maldives,31
St. Kitts & Nevis,30
Namibia,30
Vanuatu,30
Bahrain,30
Guinea,30
Portugal,29
Seychelles,28
Liberia,28
Trinidad & Tobago,28
Cape Verde,28
Mozambique,28
Côte d’Ivoire,28
Congo - Brazzaville,27
St. Vincent & Grenadines,27
El Salvador,27
Peru,27
Ireland,27
Myanmar (Burma),26
Canada,26
Cayman Islands,26
Serbia,25
Curaçao,25
Eswatini,25
Bahamas,25
Senegal,25
Colombia,25
Malawi,25
Burkina Faso,25
Gambia,24
Sint Maarten,24
Antigua & Barbuda,23
Barbados,23
Armenia,23
Oman,23
Mexico,23
Bolivia,23
Samoa,23
Papua New Guinea,23
Dominica,23
Nicaragua,23
Burundi,22
Belize,22
Andorra,22
Georgia,22
Uruguay,22
Sierra Leone,21
Algeria,21
Grenada,21
Equatorial Guinea,21
Chile,21
Romania,21
Palestine,20
Cambodia,20
China,20
Luxembourg,20
Bosnia & Herzegovina,20
Saudi Arabia,20
Ecuador,20
Australia,20
Brunei,19
Dominican Republic,19
Jamaica,19
Kuwait,19
Turks & Caicos Islands,19
Tanzania,18
Guyana,18
South Sudan,18
Croatia,18
Mauritania,18
Panama,18
Bulgaria,18
Gibraltar,18
Montenegro,18
Bermuda,18
Guatemala,17
Honduras,17
Congo - Kinshasa,17
Mali,17
Zambia,17
Uganda,17
Poland,17
Argentina,17
New Zealand,17
Spain,17
Gabon,16
United Kingdom,16
Greece,16
Isle of Man,16
San Marino,16
Estonia,15
Latvia,15
Niger,15
United States,15
Aruba,15
Fiji,15
British Virgin Islands,15
Mongolia,15
Suriname,15
Libya,15
Yemen,14
Paraguay,14
Iraq,14
Lithuania,14
American Samoa,14
Jersey,14
Philippines,14
Malaysia,14
Hong Kong,14
Caribbean Netherlands,14
Sudan,13
Iceland,13
Moldova,13
Slovenia,13
Italy,13
Venezuela,13
Germany,13
Chad,12
Central African Republic,12
Uzbekistan,12
Hungary,12
Switzerland,12
Japan,12
Austria,12
Vietnam,11
Liechtenstein,11
Puerto Rico,11
Netherlands,11
Guinea-Bissau,11
Åland Islands,11
Northern Mariana Islands,11
Belgium,11
St. Barthélemy,11
Syria,11
South Korea,10
U.S. Virgin Islands,10
Sweden,10
Guam,9
French Polynesia,9
French Guiana,9
Taiwan,9
Guernsey,9
Norway,9
France,8
Macao,8
Ukraine,8
Laos,8
Slovakia,8
Finland,8
Czechia,7
Kyrgyzstan,7
Indonesia,7
Denmark,7
Turkmenistan,7
Guadeloupe,7
Martinique,7
Réunion,7
Kazakhstan,7
Belarus,7
Timor-Leste,6
Thailand,6
Faroe Islands,6
New Caledonia,6
Iran,5
Tajikistan,5
Cuba,5
Russia,4
Antarctica,
Marshall Islands,
São Tomé & Príncipe,
Falkland Islands (Islas Malvinas),
St. Pierre & Miquelon,
Tokelau,
Micronesia,
Svalbard & Jan Mayen,
Tonga,
South Georgia & South Sandwich Islands,
French Southern Territories,
Kiribati,
Tuvalu,
St. Martin,
North Korea,
Monaco,
Greenland,
U.S. Outlying Islands,
Palau,
Pitcairn Islands,
Heard & McDonald Islands,
Vatican City,
Christmas Island,
Nauru,
Niue,
Bouvet Island,
Norfolk Island,
Mayotte,
Wallis & Futuna,
Comoros,
Anguilla,
Montserrat,
Cook Islands,
British Indian Ocean Territory,
Cocos (Keeling) Islands,
