Category: All categories

Week,Udemy: (Worldwide),Coursera: (Worldwide)
2023-06-18,73,43
2023-06-25,73,43
2023-07-02,78,44
2023-07-09,84,46
2023-07-16,80,45
2023-07-23,79,46
2023-07-30,76,45
2023-08-06,76,46
2023-08-13,77,47
2023-08-20,80,44
2023-08-27,80,43
2023-09-03,74,44
2023-09-10,73,45
2023-09-17,75,44
2023-09-24,72,46
2023-10-01,74,43
2023-10-08,70,39
2023-10-15,68,40
2023-10-22,69,39
2023-10-29,67,40
2023-11-05,66,37
2023-11-12,67,36
2023-11-19,76,37
2023-11-26,69,40
2023-12-03,69,39
2023-12-10,66,36
2023-12-17,71,38
2023-12-24,69,38
2023-12-31,78,43
2024-01-07,84,43
2024-01-14,74,40
2024-01-21,100,43
2024-01-28,93,50
2024-02-04,84,45
2024-02-11,83,43
2024-02-18,89,45
2024-02-25,85,45
2024-03-03,79,42
2024-03-10,81,40
2024-03-17,82,42
2024-03-24,84,43
2024-03-31,82,42
2024-04-07,74,39
2024-04-14,78,40
2024-04-21,71,39
2024-04-28,76,40
2024-05-05,73,41
2024-05-12,79,41
2024-05-19,82,41
2024-05-26,86,43
2024-06-02,80,41
2024-06-09,82,42
2024-06-16,76,43
